Hash,Refatoração,Descrição
3d15669b3bbc1ec2388c7b10a734a5af80ff9ef8,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@Deprecated in class com.xxl.job.admin.core.enums.ExecutorFailStrategyEnum
54fce811ebd1d1d4dd179db933cc4f18ce80c787,ADD_PARAMETER, Add Parameter Add Parameter	executorShardingParam : String in method public trigger(jobId int  triggerType TriggerTypeEnum  failRetryCount int  executorShardingParam String) : void from class com.xxl.job.admin.core.trigger.XxlJobTrigger
54fce811ebd1d1d4dd179db933cc4f18ce80c787,REORDER_PARAMETER, Reorder Parameter Reorder Parameter	[jobId : int  failRetryCount : int  triggerType : TriggerTypeEnum] to [jobId : int  triggerType : TriggerTypeEnum  failRetryCount : int  executorShardingParam : String] in method public trigger(jobId int  triggerType TriggerTypeEnum  failRetryCount int  executorShardingParam String) : void from class com.xxl.job.admin.core.trigger.XxlJobTrigger
54fce811ebd1d1d4dd179db933cc4f18ce80c787,ADD_PARAMETER, Add Parameter Add Parameter	total : int in method private processTrigger(group XxlJobGroup  jobInfo XxlJobInfo  finalFailRetryCount int  triggerType TriggerTypeEnum  index int  total int) : void from class com.xxl.job.admin.core.trigger.XxlJobTrigger
6393214098fa03a5d7c9c9f97f50b2869c5f82f2,MODIFY_ATTRIBUTE_ANNOTATION, Modify Attribute Annotation Modify Attribute Annotation	@Value("xxl.job.executor.logretentiondays") to @Value("${xxl.job.executor.logretentiondays}") in attribute private logRetentionDays : int from class com.xxl.job.executor.core.config.XxlJobConfig
2ab52d023d0b0864b5b2efdfa9257d0adee9c82c,RENAME_METHOD, Rename Method Rename Method	public getEmailUserName() : String renamed to public getEmailFrom() : String in class com.xxl.job.admin.core.conf.XxlJobAdminConfig
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	jobId : int to idleBeatParam : IdleBeatParam in method public idleBeat(idleBeatParam IdleBeatParam) : ReturnT<String> from class com.xxl.job.core.biz.client.ExecutorBizClient
4d44822efac0202861db77c8c49e5538f13b847c,RENAME_PARAMETER, Rename Parameter Rename Parameter	jobId : int to idleBeatParam : IdleBeatParam in method public idleBeat(idleBeatParam IdleBeatParam) : ReturnT<String> from class com.xxl.job.core.biz.client.ExecutorBizClient
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	jobId : int to killParam : KillParam in method public kill(killParam KillParam) : ReturnT<String> from class com.xxl.job.core.biz.client.ExecutorBizClient
4d44822efac0202861db77c8c49e5538f13b847c,RENAME_PARAMETER, Rename Parameter Rename Parameter	jobId : int to killParam : KillParam in method public kill(killParam KillParam) : ReturnT<String> from class com.xxl.job.core.biz.client.ExecutorBizClient
4d44822efac0202861db77c8c49e5538f13b847c,RENAME_PARAMETER, Rename Parameter Rename Parameter	jobId : int to idleBeatParam : IdleBeatParam in method public idleBeat(idleBeatParam IdleBeatParam) : ReturnT<String> from class com.xxl.job.core.biz.impl.ExecutorBizImpl
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	jobId : int to idleBeatParam : IdleBeatParam in method public idleBeat(idleBeatParam IdleBeatParam) : ReturnT<String> from class com.xxl.job.core.biz.impl.ExecutorBizImpl
4d44822efac0202861db77c8c49e5538f13b847c,RENAME_PARAMETER, Rename Parameter Rename Parameter	jobId : int to killParam : KillParam in method public kill(killParam KillParam) : ReturnT<String> from class com.xxl.job.core.biz.impl.ExecutorBizImpl
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	jobId : int to killParam : KillParam in method public kill(killParam KillParam) : ReturnT<String> from class com.xxl.job.core.biz.impl.ExecutorBizImpl
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	jobId : int to idleBeatParam : IdleBeatParam in method private process(httpMethod HttpMethod  uri String  requestData String  accessTokenReq String) : Object from class com.xxl.job.core.server.EmbedServer.EmbedHttpServerHandler
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	jobId : int to killParam : KillParam in method private process(httpMethod HttpMethod  uri String  requestData String  accessTokenReq String) : Object from class com.xxl.job.core.server.EmbedServer.EmbedHttpServerHandler
4d44822efac0202861db77c8c49e5538f13b847c,RENAME_VARIABLE, Rename Variable Rename Variable	jobId : int to idleBeatParam : IdleBeatParam in method private process(httpMethod HttpMethod  uri String  requestData String  accessTokenReq String) : Object from class com.xxl.job.core.server.EmbedServer.EmbedHttpServerHandler
4d44822efac0202861db77c8c49e5538f13b847c,RENAME_VARIABLE, Rename Variable Rename Variable	jobId : int to killParam : KillParam in method private process(httpMethod HttpMethod  uri String  requestData String  accessTokenReq String) : Object from class com.xxl.job.core.server.EmbedServer.EmbedHttpServerHandler
